epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.476142555475235,0.2456827461719513,0.07881765067577362,0.5984413623809814,NA,NA,NA,NA
1,0.5461097955703735,0.2199806123971939,0.08326924592256546,0.5403057932853699,NA,NA,NA,NA
2,0.6111767292022705,0.2172171175479889,0.08730091154575348,0.47483906149864197,NA,NA,NA,NA
3,0.6436603665351868,0.21871092915534973,0.08831561356782913,0.43235141038894653,NA,NA,NA,NA
4,0.6220763921737671,0.19353154301643372,0.11978050321340561,0.6829135417938232,NA,NA,NA,NA
5,0.7205948829650879,0.15715771913528442,0.18384458124637604,0.8561601042747498,NA,NA,NA,NA
6,0.8532465696334839,0.11176053434610367,0.3152499794960022,0.9145010709762573,NA,NA,NA,NA
7,0.8544450998306274,0.11330416053533554,0.31299981474876404,0.8828868865966797,NA,NA,NA,NA
8,0.9229199886322021,0.07179130613803864,0.4775391221046448,0.9378189444541931,NA,NA,NA,NA
9,0.9262269139289856,0.0695408433675766,0.48909804224967957,0.9316480755805969,NA,NA,NA,NA
10,0.9380981922149658,0.05586407706141472,0.5355446934700012,0.9497089385986328,NA,NA,NA,NA
11,0.9489818215370178,0.047692783176898956,0.585852861404419,0.9544012546539307,NA,NA,NA,NA
12,0.9588327407836914,0.03901868313550949,0.6389256119728088,0.9630363583564758,NA,NA,NA,NA
13,0.9566465616226196,0.041251372545957565,0.6268396973609924,0.9585801959037781,NA,NA,NA,NA
14,0.9632487297058105,0.03445865213871002,0.6651069521903992,0.969104528427124,NA,NA,NA,NA
15,0.9675309062004089,0.031003300100564957,0.6938267350196838,0.9693612456321716,NA,NA,NA,NA
16,0.9655970931053162,0.03236805275082588,0.6804657578468323,0.9696076512336731,NA,NA,NA,NA
17,0.9657323360443115,0.030842766165733337,0.6815781593322754,0.9688273072242737,NA,NA,NA,NA
18,0.9584429264068604,0.03539713844656944,0.6358910202980042,0.9669893980026245,NA,NA,NA,NA
19,0.9570770859718323,0.0348023846745491,0.6274799108505249,0.9697000980377197,NA,NA,NA,NA
20,0.9676414728164673,0.028133630752563477,0.6935290098190308,0.9732321500778198,NA,NA,NA,NA
21,0.9476516246795654,0.04284439980983734,0.5782113671302795,0.9645662307739258,NA,NA,NA,NA
22,0.9658698439598083,0.02790147252380848,0.6806750893592834,0.9760352373123169,NA,NA,NA,NA
23,0.9667847156524658,0.0282648503780365,0.6871869564056396,0.97480309009552,NA,NA,NA,NA
24,0.9586821794509888,0.033656101673841476,0.6368399858474731,0.969576895236969,NA,NA,NA,NA
25,0.9701389074325562,0.025317726656794548,0.7097194790840149,0.9787253737449646,NA,NA,NA,NA
26,0.9692000150680542,0.025070352479815483,0.7032742500305176,0.9776575565338135,NA,NA,NA,NA
27,0.9713760018348694,0.024219082668423653,0.7192631363868713,0.9773597717285156,NA,NA,NA,NA
28,0.9658451080322266,0.027693714946508408,0.6803493499755859,0.9766718149185181,NA,NA,NA,NA
29,0.9742079973220825,0.020933877676725388,0.7391247153282166,0.9827194809913635,NA,NA,NA,NA
30,0.9767228960990906,0.019121915102005005,0.7589194774627686,0.9839310646057129,NA,NA,NA,NA
31,0.9770734310150146,0.019654633477330208,0.7625371813774109,0.9821856021881104,NA,NA,NA,NA
32,0.9756036400794983,0.020327774807810783,0.7508091926574707,0.9812409281730652,NA,NA,NA,NA
33,0.9629112482070923,0.030486442148685455,0.6618683338165283,0.9739406108856201,NA,NA,NA,NA
34,0.9668901562690735,0.026518171653151512,0.6874579787254333,0.9765075445175171,NA,NA,NA,NA
35,0.9758152961730957,0.020131252706050873,0.7518988847732544,0.9828734993934631,NA,NA,NA,NA
36,0.9794428944587708,0.016723746433854103,0.7811205983161926,0.9860873222351074,NA,NA,NA,NA
37,0.9803898334503174,0.016954198479652405,0.7908438444137573,0.9831610321998596,NA,NA,NA,NA
38,0.976281464099884,0.019279640167951584,0.7555665969848633,0.9832226037979126,NA,NA,NA,NA
39,0.9758174419403076,0.01944909431040287,0.7519601583480835,0.9827605485916138,NA,NA,NA,NA
